frame,time_sec,slot_id,track_id,img_foot_x,img_foot_y,court_x_m,court_y_m
73,2.433,1,0,1055,573,3.832,4.284
73,2.433,0,1,999,1007,3.328,12.494
74,2.467,1,0,1041,573,3.729,4.284
74,2.467,0,1,997,1006,3.317,12.48
75,2.5,1,0,1063,573,3.891,4.285
75,2.5,0,1,995,1002,3.307,12.423
76,2.533,1,0,1074,573,3.972,4.285
76,2.533,0,1,992,1006,3.29,12.48
77,2.567,1,0,1086,564,4.068,4.055
77,2.567,0,1,995,1006,3.306,12.48
78,2.6,1,0,1085,564,4.061,4.055
78,2.6,0,1,995,1006,3.306,12.48
79,2.633,1,0,1063,559,3.901,3.925
79,2.633,0,1,998,983,3.326,12.151
80,2.667,1,0,1089,528,4.121,3.099
80,2.667,0,1,998,975,3.328,12.035
81,2.7,1,0,1095,534,4.161,3.263
81,2.7,0,1,997,967,3.323,11.917
82,2.733,1,0,1116,533,4.322,3.236
82,2.733,0,1,994,960,3.308,11.813
83,2.767,1,0,1116,533,4.322,3.236
83,2.767,0,1,994,960,3.308,11.813
84,2.8,1,0,1109,524,4.278,2.99
84,2.8,0,1,987,952,3.269,11.693
85,2.833,1,0,1106,515,4.264,2.741
85,2.833,0,1,982,946,3.241,11.603
86,2.867,1,0,1120,497,4.392,2.231
86,2.867,0,1,978,927,3.22,11.311
87,2.9,1,0,1113,492,4.342,2.086
87,2.9,0,1,974,922,3.198,11.233
88,2.933,1,0,1113,492,4.342,2.086
88,2.933,0,1,975,922,3.204,11.233
89,2.967,1,0,1111,481,4.338,1.763
89,2.967,0,1,973,927,3.192,11.311
90,3.0,1,0,1113,457,4.381,1.039
90,3.0,0,1,963,929,3.134,11.342
91,3.033,1,0,1117,473,4.395,1.525
91,3.033,0,1,963,931,3.134,11.373
92,3.067,1,0,1122,474,4.434,1.556
92,3.067,0,1,960,931,3.117,11.373
93,3.1,1,0,1122,474,4.434,1.556
93,3.1,0,1,960,931,3.117,11.373
94,3.133,1,0,1128,474,4.482,1.556
94,3.133,0,1,954,932,3.082,11.388
95,3.167,1,0,1134,474,4.53,1.556
95,3.167,0,1,961,932,3.122,11.388
96,3.2,1,0,1142,474,4.594,1.556
96,3.2,0,1,960,941,3.116,11.526
97,3.233,1,0,1144,474,4.61,1.557
97,3.233,0,1,959,944,3.111,11.572
98,3.267,1,0,1144,474,4.61,1.557
98,3.267,0,1,959,944,3.111,11.572
99,3.3,1,0,1143,477,4.598,1.646
99,3.3,0,1,956,946,3.093,11.602
100,3.333,1,0,1141,477,4.582,1.646
100,3.333,0,1,937,946,2.985,11.601
101,3.367,1,0,1139,477,4.566,1.646
101,3.367,0,1,928,946,2.934,11.601
102,3.4,1,0,1131,483,4.495,1.823
102,3.4,0,1,928,946,2.934,11.601
103,3.433,1,0,1131,483,4.495,1.823
103,3.433,0,1,928,946,2.934,11.601
104,3.467,1,0,1127,485,4.461,1.882
104,3.467,0,1,919,946,2.883,11.601
105,3.5,1,0,1121,485,4.413,1.882
105,3.5,0,1,910,946,2.832,11.601
106,3.533,1,0,1103,485,4.27,1.881
106,3.533,0,1,906,946,2.809,11.601
107,3.567,1,0,1094,485,4.199,1.881
107,3.567,0,1,904,946,2.798,11.601
108,3.6,1,0,1094,485,4.199,1.881
108,3.6,0,1,904,946,2.798,11.601
109,3.633,1,0,1088,484,4.153,1.851
109,3.633,0,1,904,945,2.797,11.585
110,3.667,1,0,1082,475,4.113,1.584
110,3.667,0,1,922,945,2.9,11.586
111,3.7,1,0,1074,483,4.042,1.821
111,3.7,0,1,920,945,2.889,11.586
112,3.733,1,0,1069,489,3.998,1.997
112,3.733,0,1,924,947,2.911,11.616
113,3.767,1,0,1069,489,3.998,1.997
113,3.767,0,1,924,947,2.911,11.616
114,3.8,1,0,1064,497,3.952,2.228
114,3.8,0,1,919,946,2.883,11.601
115,3.833,1,0,1040,514,3.754,2.71
115,3.833,0,1,927,943,2.928,11.556
116,3.867,1,0,1032,517,3.691,2.793
116,3.867,0,1,927,942,2.928,11.54
117,3.9,1,0,1023,536,3.613,3.314
117,3.9,0,1,929,940,2.939,11.51
118,3.933,1,0,1023,536,3.613,3.314
118,3.933,0,1,929,940,2.939,11.51
119,3.967,1,0,1016,550,3.554,3.687
119,3.967,0,1,932,935,2.956,11.434
120,4.0,1,0,1020,550,3.584,3.687
120,4.0,0,1,928,932,2.933,11.387
121,4.033,1,0,1016,550,3.554,3.687
121,4.033,0,1,922,930,2.898,11.356
122,4.067,1,0,992,550,3.374,3.686
122,4.067,0,1,917,929,2.87,11.341
123,4.1,1,0,992,550,3.374,3.686
123,4.1,0,1,917,929,2.87,11.341
124,4.133,1,0,986,549,3.329,3.66
124,4.133,0,1,908,930,2.818,11.356
125,4.167,1,0,986,546,3.329,3.58
125,4.167,0,1,906,929,2.806,11.34
126,4.2,1,0,983,537,3.309,3.339
126,4.2,0,1,916,930,2.864,11.356
127,4.233,1,0,985,534,3.324,3.258
127,4.233,0,1,920,930,2.887,11.356
128,4.267,1,0,986,534,3.332,3.258
128,4.267,0,1,920,930,2.887,11.356
129,4.3,1,0,985,534,3.324,3.258
129,4.3,0,1,930,930,2.944,11.357
130,4.333,1,0,987,532,3.34,3.204
130,4.333,0,1,934,932,2.967,11.387
131,4.367,1,0,989,533,3.355,3.231
131,4.367,0,1,937,930,2.985,11.357
132,4.4,1,0,1010,482,3.535,1.789
132,4.4,0,1,941,930,3.008,11.357
133,4.433,1,0,1010,481,3.535,1.759
133,4.433,0,1,941,930,3.008,11.357
134,4.467,1,0,1009,523,3.511,2.959
134,4.467,0,1,944,930,3.025,11.357
135,4.5,1,0,1018,523,3.58,2.959
135,4.5,0,1,948,930,3.048,11.357
136,4.533,1,0,1029,523,3.665,2.96
136,4.533,0,1,955,930,3.088,11.357
137,4.567,1,0,1034,486,3.723,1.908
137,4.567,0,1,957,930,3.1,11.357
138,4.6,1,0,1034,486,3.723,1.908
138,4.6,0,1,956,930,3.094,11.357
139,4.633,1,0,1043,470,3.804,1.432
139,4.633,0,1,965,929,3.146,11.342
140,4.667,1,0,1053,469,3.885,1.402
140,4.667,0,1,968,927,3.163,11.311
141,4.7,1,0,1061,483,3.939,1.82
141,4.7,0,1,962,931,3.128,11.373
142,4.733,1,0,1072,484,4.026,1.85
142,4.733,0,1,966,930,3.151,11.357
143,4.767,1,0,1072,484,4.026,1.85
143,4.767,0,1,966,930,3.151,11.357
144,4.8,1,0,1077,485,4.064,1.88
144,4.8,0,1,969,929,3.169,11.342
145,4.833,1,0,1086,513,4.111,2.684
145,4.833,0,1,968,934,3.162,11.419
146,4.867,1,0,1097,508,4.201,2.544
146,4.867,0,1,968,935,3.162,11.435
147,4.9,1,0,1100,495,4.237,2.172
147,4.9,0,1,969,935,3.168,11.435
148,4.933,1,0,1100,495,4.237,2.172
148,4.933,0,1,969,935,3.168,11.435
149,4.967,1,0,1119,464,4.422,1.253
149,4.967,0,1,972,926,3.186,11.296
150,5.0,1,0,1119,483,4.4,1.823
150,5.0,0,1,969,913,3.17,11.092
151,5.033,1,0,1128,468,4.489,1.375
151,5.033,0,1,975,916,3.204,11.139
152,5.067,1,0,1128,468,4.489,1.375
152,5.067,0,1,975,916,3.204,11.139
153,5.1,1,0,1135,469,4.544,1.406
153,5.1,0,1,972,919,3.187,11.186
154,5.133,1,0,1141,467,4.595,1.346
154,5.133,0,1,977,929,3.215,11.342
155,5.167,1,0,1149,463,4.665,1.224
155,5.167,0,1,981,932,3.237,11.389
156,5.2,1,0,1151,468,4.674,1.376
156,5.2,0,1,982,935,3.243,11.435
157,5.233,1,0,1151,468,4.674,1.376
157,5.233,0,1,982,935,3.243,11.435
158,5.267,1,0,1155,467,4.708,1.346
158,5.267,0,1,983,940,3.248,11.511
159,5.3,1,0,1157,467,4.724,1.346
159,5.3,0,1,990,939,3.288,11.496
160,5.333,1,0,1160,468,4.746,1.377
160,5.333,0,1,995,938,3.317,11.481
161,5.367,1,0,1164,467,4.78,1.347
161,5.367,0,1,979,939,3.225,11.496
162,5.4,1,0,1164,467,4.78,1.347
162,5.4,0,1,979,939,3.225,11.496
163,5.433,1,0,1165,482,4.766,1.795
163,5.433,0,1,977,938,3.214,11.481
164,5.467,1,0,1166,483,4.773,1.825
164,5.467,0,1,958,938,3.105,11.48
165,5.5,1,0,1164,483,4.757,1.825
165,5.5,0,1,945,938,3.031,11.48
166,5.533,1,0,1159,483,4.717,1.824
166,5.533,0,1,931,937,2.951,11.464
167,5.567,1,0,1159,483,4.717,1.824
167,5.567,0,1,931,937,2.951,11.464
